student_id,school_type,grade,student_sex,지역
14604,고등,1,미정,서현2동
14962,고등,1,여,광주광역시
14963,고등,1,여,광주광역시
14964,고등,1,여,광주광역시
14965,고등,1,여,광주광역시
14966,고등,1,남,광주광역시
15014,고등,1,미정,정자1동
15015,고등,2,미정,정자1동
15016,고등,3,미정,정자1동
15054,고등,1,미정,야탑3동
15055,고등,2,미정,야탑3동
15056,고등,3,미정,야탑3동
15064,고등,1,미정,하대원동
15065,고등,2,미정,하대원동
15066,고등,3,미정,하대원동
15190,고등,1,남,경기도
15191,고등,1,남,경기도
15192,고등,1,남,경기도
15193,고등,1,남,경기도
15194,고등,1,남,경기도
15202,고등,1,남,광주광역시
15671,고등,3,미정,양지동
15672,고등,2,미정,양지동
15673,고등,1,미정,양지동
15679,고등,1,남,경기도
15680,고등,1,남,경기도
15681,고등,1,남,경기도
15682,고등,1,남,경기도
15683,고등,1,남,경기도
15684,고등,1,남,경기도
15690,고등,1,남,경기도
15691,고등,1,남,경기도
15692,고등,1,남,경기도
15693,고등,1,남,경기도
15709,고등,1,남,광주광역시
15717,고등,1,남,광주광역시
15718,고등,1,남,광주광역시
15719,고등,1,남,광주광역시
15840,고등,2,미정,양지동
15842,고등,1,미정,양지동
16028,고등,3,미정,양지동
16029,고등,3,미정,양지동
16344,고등,3,미정,야탑3동
16345,고등,3,미정,야탑3동
16346,고등,3,미정,야탑3동
16347,고등,3,미정,야탑3동
16348,고등,3,미정,야탑3동
16349,고등,3,미정,야탑3동
16350,고등,3,미정,야탑3동
16351,고등,3,미정,야탑3동
16352,고등,3,미정,야탑3동
16353,고등,3,미정,야탑3동
16354,고등,3,미정,야탑3동
16355,고등,3,미정,야탑3동
16356,고등,3,미정,야탑3동
16357,고등,3,미정,야탑3동
16358,고등,3,미정,야탑3동
16359,고등,3,미정,야탑3동
16360,고등,3,미정,야탑3동
16361,고등,3,미정,야탑3동
16362,고등,3,미정,야탑3동
16363,고등,3,미정,야탑3동
16419,고등,1,여,강원도
16420,고등,1,여,강원도
16421,고등,1,여,강원도
16427,고등,1,여,야탑1동
16428,고등,1,여,강원도
16429,고등,1,여,강원도
16657,고등,1,남,경기도
16658,고등,1,남,경기도
16659,고등,1,여,경기도
16660,고등,1,여,경기도
16661,고등,1,남,경기도
16662,고등,1,남,경기도
16663,고등,1,남,경기도
16664,고등,1,남,경기도
16665,고등,1,남,경기도
16666,고등,1,남,경기도
16682,고등,1,남,경기도
16683,고등,1,남,경기도
16684,고등,1,여,경기도
16685,고등,1,여,경기도
16686,고등,1,남,경기도
16687,고등,1,여,경기도
16688,고등,1,여,경기도
16689,고등,1,남,경기도
16690,고등,1,여,경기도
16691,고등,1,여,경기도
16692,고등,1,남,경기도
16693,고등,1,남,경기도
16694,고등,1,남,경기도
16695,고등,1,남,경기도
16696,고등,1,남,경기도
16717,고등,1,여,경기도
16718,고등,1,여,경기도
16719,고등,1,여,경기도
16720,고등,1,남,경기도
16721,고등,1,남,경기도
16798,고등,3,미정,경기도
16800,고등,3,미정,경기도
16802,고등,3,미정,경기도
16804,고등,3,미정,경기도
17175,고등,1,남,광주광역시
17176,고등,1,남,광주광역시
17177,고등,1,남,광주광역시
17178,고등,1,남,광주광역시
17179,고등,1,남,광주광역시
17196,고등,1,미정,성남동
17213,고등,3,미정,경기도
17215,고등,2,미정,성남동
17216,고등,1,미정,성남동
17256,고등,3,여,정자동
18295,고등,2,미정,단대동
18296,고등,2,미정,단대동
18297,고등,2,미정,금광2동
18312,고등,2,여,서울특별시
19462,고등,1,여,경기도
19463,고등,1,남,경기도
19464,고등,1,남,경기도
19465,고등,1,남,경기도
19466,고등,1,여,경기도
19467,고등,1,남,경기도
19468,고등,1,남,경기도
19469,고등,1,남,경기도
19470,고등,1,남,경기도
19471,고등,1,남,경기도
19472,고등,1,남,경기도
19473,고등,1,남,경기도
19474,고등,1,남,경기도
19475,고등,1,남,경기도
19476,고등,1,남,경기도
20097,고등,1,여,강원도
20098,고등,1,여,강원도
20099,고등,1,여,강원도
20100,고등,1,여,강원도
20101,고등,1,여,강원도
20102,고등,1,여,강원도
20103,고등,1,여,강원도
20104,고등,1,여,강원도
20105,고등,1,여,강원도
20106,고등,1,남,강원도
20297,고등,1,남,강원도
20298,고등,1,남,강원도
20299,고등,1,남,강원도
20300,고등,1,여,강원도
20301,고등,1,여,강원도
20302,고등,1,남,강원도
20532,고등,1,여,경기도
20533,고등,1,남,경기도
20534,고등,1,남,경기도
20535,고등,1,남,경기도
20536,고등,1,여,경기도
20537,고등,1,남,경기도
20538,고등,1,남,경기도
20539,고등,1,남,경기도
20540,고등,1,남,경기도
20541,고등,1,남,경기도
20711,고등,1,여,광주광역시
20712,고등,1,여,광주광역시
20713,고등,1,여,광주광역시
20714,고등,1,여,광주광역시
20715,고등,1,여,광주광역시
27225,고등,2,미정,야탑2동
27226,고등,2,미정,판교동
27227,고등,2,미정,판교동
27228,고등,2,미정,경기도
28924,고등,2,미정,서현2동
28925,고등,2,미정,서현2동
28926,고등,2,미정,서현2동
29151,고등,3,미정,정자1동
29152,고등,3,미정,정자1동
29153,고등,3,미정,정자1동
29154,고등,3,미정,정자1동
29155,고등,3,미정,정자1동
29264,고등,2,남,성남동
29265,고등,1,여,금곡동
29270,고등,1,여,성남동
29279,고등,2,남,금곡동
29290,고등,2,여,판교동
29291,고등,2,여,성남동
29318,고등,1,남,경기도
29319,고등,1,여,경기도
29320,고등,1,남,경기도
29321,고등,1,남,경기도
29322,고등,1,여,경기도
29610,고등,1,남,경기도
29611,고등,1,남,경기도
29612,고등,1,여,경기도
29613,고등,1,여,경기도
29614,고등,1,남,경기도
29615,고등,3,미정,하대원동
29616,고등,3,미정,하대원동
30517,고등,1,남,강원도
30520,고등,1,여,강원도
30522,고등,1,남,강원도
30523,고등,1,남,강원도
30686,고등,1,미정,하대원동
30687,고등,2,미정,하대원동
30688,고등,2,미정,하대원동
30689,고등,3,미정,하대원동
30690,고등,3,미정,하대원동
30862,고등,1,남,경기도
30863,고등,1,남,경기도
30864,고등,1,남,경기도
30865,고등,1,남,경기도
30866,고등,1,남,경기도
30867,고등,2,미정,복정동
30868,고등,2,미정,경기도
30869,고등,2,미정,서울특별시
30870,고등,2,미정,성남동
30871,고등,2,미정,성남동
30872,고등,2,미정,신촌동
30873,고등,2,미정,성남동
30874,고등,3,미정,이매1동
30875,고등,3,미정,경기도
30876,고등,3,미정,금곡동
30877,고등,3,미정,금곡동
30878,고등,3,미정,야탑3동
30879,고등,3,미정,야탑3동
30880,고등,3,미정,하대원동
30881,고등,3,미정,하대원동
30882,고등,3,미정,성남동
30883,고등,3,미정,성남동
30884,고등,3,미정,단대동
30885,고등,3,미정,단대동
30886,고등,3,미정,서현2동
30887,고등,3,미정,서현2동
30888,고등,3,미정,서현1동
30889,고등,3,미정,금곡동
30890,고등,1,미정,금곡동
30891,고등,1,미정,금곡동
30892,고등,1,미정,금곡동
30893,고등,1,미정,금곡동
30894,고등,1,미정,금곡동
30895,고등,1,미정,금곡동
30896,고등,1,미정,금곡동
30897,고등,1,미정,금곡동
30898,고등,1,미정,금곡동
30899,고등,1,미정,금곡동
30900,고등,1,미정,금곡동
30901,고등,1,미정,금곡동
30902,고등,1,미정,금곡동
30903,고등,1,미정,금곡동
30904,고등,1,미정,금곡동
30905,고등,1,미정,금곡동
30906,고등,1,미정,금곡동
30907,고등,1,미정,금곡동
30908,고등,1,미정,금곡동
30909,고등,1,미정,금곡동
30910,고등,1,미정,금곡동
30911,고등,1,미정,금곡동
